X,Y
141.382,18.379
141.906,19.289
142.323,20.246
142.644,21.231
142.884,22.229
143.055,23.221
143.171,24.191
143.244,25.123
143.289,25.999
142.661,26.300
141.656,26.300
140.652,26.300
139.647,26.300
138.642,26.300
137.638,26.300
136.633,26.300
136.295,25.795
136.248,24.906
136.109,23.933
135.832,22.961
135.367,22.077
134.667,21.367
133.684,20.916
132.049,20.806
130.506,20.958
130.233,21.308
130.057,21.838
129.407,22.704
129.022,23.700
128.846,24.694
128.801,25.570
128.800,26.532
128.800,27.537
128.800,28.541
128.800,29.546
128.800,30.550
128.800,31.555
128.800,32.560
128.800,33.564
128.800,34.569
128.800,35.573
128.800,36.578
128.800,37.583
128.800,38.587
128.804,39.429
128.848,40.326
128.983,41.271
129.259,42.194
129.727,43.028
130.437,43.703
131.441,44.149
132.779,44.300
133.975,44.187
134.882,43.882
135.541,43.396
135.992,42.742
136.273,41.933
136.425,40.982
136.488,39.901
136.500,38.702
137.031,38.100
138.036,38.100
139.041,38.100
140.045,38.100
141.050,38.100
142.054,38.100
143.059,38.100
143.600,38.848
143.587,40.048
143.540,40.891
143.432,41.643
143.267,42.455
143.122,43.128
142.920,43.902
142.627,44.757
142.207,45.671
141.624,46.623
140.844,47.592
139.844,48.549
138.870,49.252
137.832,49.795
136.774,50.197
135.735,50.478
134.758,50.658
133.884,50.758
133.154,50.797
132.204,50.789
131.062,50.716
129.995,50.574
128.997,50.360
128.066,50.071
127.197,49.705
126.385,49.259
125.628,48.732
124.920,48.121
124.413,47.597
124.046,47.181
123.673,46.709
123.305,46.159
122.949,45.513
122.616,44.747
122.315,43.843
122.055,42.778
121.844,41.533
121.694,40.086
121.612,38.417
121.600,36.946
121.600,35.941
121.600,34.937
121.600,33.932
121.600,32.928
121.600,31.923
121.600,30.918
121.600,29.914
121.600,28.909
121.600,27.905
121.600,26.900
164.900,15.300
165.159,16.271
165.418,17.243
165.677,18.214
165.936,19.185
166.195,20.157
166.454,21.128
166.713,22.099
166.972,23.071
167.231,24.042
167.490,25.013
167.749,25.985
168.008,26.956
168.267,27.928
168.526,28.899
168.785,29.870
169.044,30.842
169.303,31.813
169.562,32.784
169.821,33.756
170.081,34.727
170.340,35.698
170.599,36.670
170.858,37.641
171.117,38.612
171.376,39.584
171.635,40.555
171.894,41.526
172.153,42.498
172.412,43.469
172.671,44.440
172.930,45.412
173.189,46.383
173.448,47.354
173.707,48.326
173.966,49.297
173.615,49.800
172.610,49.800
171.605,49.800
170.599,49.800
169.594,49.800
168.589,49.800
167.583,49.800
167.137,49.097
166.910,48.117
166.683,47.138
166.456,46.159
166.229,45.180
166.002,44.200
165.774,43.221
165.024,42.900
164.019,42.900
163.014,42.900
162.008,42.900
161.003,42.900
159.998,42.900
158.992,42.900
157.987,42.900
156.982,42.900
155.977,42.900
155.678,43.802
155.437,44.778
155.197,45.754
154.956,46.730
154.716,47.706
154.475,48.682
154.235,49.658
153.341,49.800
152.335,49.800
151.330,49.800
150.325,49.800
149.319,49.800
148.314,49.800
147.423,49.712
147.677,48.739
147.931,47.766
148.184,46.794
148.438,45.821
148.692,44.848
148.946,43.875
149.199,42.903
149.453,41.930
149.707,40.957
149.961,39.984
150.214,39.012
150.468,38.039
150.722,37.066
150.976,36.094
151.229,35.121
151.483,34.148
151.737,33.175
151.991,32.203
152.244,31.230
